Ký_tự,Pinyin,Hán_Việt,Số_cách_đọc,Tất_cả_cách_đọc
儐,bīn,~tấn,3,tấn / tân / ~tấn
儒,rú,nho,1,nho
儓,tái,đài,1,đài
儔,chóu,trù,2,trù / ~cừu
儔,chóu,~cừu,2,trù / ~cừu
儕,chái,sài,1,sài
儗,nǐ,nghĩ,1,nghĩ
儘,jǐn,tẫn,2,tẫn / tận
儘,jǐn,tận,2,tẫn / tận
儙,qian4,thiên,1,thiên
儚,méng,~mông,1,~mông
儛,wǔ,vũ,1,vũ
儜,níng,ninh,1,ninh
儞,nǐ,nễ,1,nễ
償,cháng,thường,1,thường
儠,lie4,liệt,1,liệt
儡,lěi,lỗi,1,lỗi
儢,lv3,lữ,1,lữ
儣,kuang3,khoáng,1,khoáng
儤,bào,bạo,1,bạo
儦,biāo,~tiêu,1,~tiêu
儧,zan3,tán,1,tán
儨,zhi4,chí,1,chí
儩,sì,tứ,1,tứ
優,yōu,ưu,2,ưu / ~ưu
優,yōu,~ưu,2,ưu / ~ưu
儫,hao2,hào,1,hào
儭,chèn,sấn,1,sấn
儰,wei3,vi,1,vi
儱,lǒng,lũng,1,lũng
儲,chǔ,trữ,1,trữ
儳,chán,sàm,1,sàm
儴,rang2,nhượng,1,nhượng
儵,shū,thúc,1,thúc
儶,huì,~hội,1,~hội
儷,lì,lệ,1,lệ
儸,luó,la,1,la
儹,zǎn,toản,1,toản
儺,nuó,na,2,na / ~na
儺,nuó,~na,2,na / ~na
儻,tǎng,thảng,1,thảng
儼,yǎn,nghiễm,2,nghiễm / ~ễnh
儼,yǎn,~ễnh,2,nghiễm / ~ễnh
儽,léi,luy,1,luy
儾,nàng,nang,1,nang
儿,ér,nhân,3,nhân / nghê / nhi
儿,ér,nghê,3,nhân / nghê / nhi
儿,ér,nhi,3,nhân / nghê / nhi
兀,wù,ngột,1,ngột
允,yǔn,duẫn,1,duẫn
兂,zān,trâm,1,trâm
元,yuán,nguyên,1,nguyên
兄,xiōng,huynh,1,huynh
充,chōng,sung,1,sung
兆,zhào,triệu,1,triệu
兇,xiōng,hung,1,hung
先,xiān,tiên,2,tiên / tiến
先,xiān,tiến,2,tiên / tiến
光,guāng,quang,1,quang
兊,dui4,đối,1,đối
克,kè,khắc,1,khắc
兌,duì,đoái,2,đoái / đoài
兌,duì,đoài,2,đoái / đoài
免,miǎn,miễn,2,miễn / vấn
免,miǎn,vấn,2,miễn / vấn
兎,tù,thỏ,1,thỏ
兏,chang2,xương,1,xương
児,ér,nhi,1,nhi
兑,duì,đoài,2,đoài / đoái
兑,duì,đoái,2,đoài / đoái
兒,ér,nghê,2,nghê / nhi
兒,ér,nhi,2,nghê / nhi
兓,jin1,kim,1,kim
兔,tù,thỏ,1,thỏ
兕,sì,huỷ,2,huỷ / hủy
兕,sì,hủy,2,huỷ / hủy
兖,yǎn,duyện,2,duyện / ~duyện
兖,yǎn,~duyện,2,duyện / ~duyện
兗,yǎn,duyện,2,duyện / ~duyện
兗,yǎn,~duyện,2,duyện / ~duyện
兘,shǐ,~thỉ,1,~thỉ
兙,shí,khắc,2,khắc / thập
兙,shí,thập,2,khắc / thập
党,dǎng,đảng,1,đảng
兛,qiān,thiên,2,thiên / khắc
兛,qiān,khắc,2,thiên / khắc
兜,dōu,đâu,1,đâu
兝,fēn,~phân,1,~phân
兞,máo,hào,1,hào
兟,shēn,sân,1,sân
兠,dōu,đâu,1,đâu
兡,bǎi,~bách,1,~bách
兢,jīng,căng,2,căng / cạnh
兢,jīng,cạnh,2,căng / cạnh
兣,lǐ,~lễ,1,~lễ
入,rù,nhập,1,nhập
兦,wáng,mang,1,mang
內,nèi,nạp,2,nạp / nội
內,nèi,nội,2,nạp / nội
全,quán,toàn,1,toàn
兩,liǎng,lưỡng,3,lưỡng / lạng / lượng
兩,liǎng,lạng,3,lưỡng / lạng / lượng
兩,liǎng,lượng,3,lưỡng / lạng / lượng
兪,yú,du,1,du
八,bā,bát,1,bát
公,gōng,công,1,công
六,liù,lục,1,lục
兮,xī,hề,1,hề
兯,han,~triết,1,~triết
兰,lán,lan,2,lan / ~lan
兰,lán,~lan,2,lan / ~lan
共,gòng,cung,2,cung / cộng
共,gòng,cộng,2,cung / cộng
兲,tiān,thiên,1,thiên
关,guān,loan,2,loan / quan
关,guān,quan,2,loan / quan
兴,xìng,hưng,3,hưng / hứng / ~tính
兴,xìng,hứng,3,hưng / hứng / ~tính
兴,xìng,~tính,3,hưng / hứng / ~tính
兵,bīng,binh,1,binh
其,qí,kì,4,kì / kỳ / ký / ki
其,qí,kỳ,4,kì / kỳ / ký / ki
其,qí,ký,4,kì / kỳ / ký / ki
其,qí,ki,4,kì / kỳ / ký / ki
具,jù,cụ,1,cụ
典,diǎn,điển,1,điển
兹,zī,tư,3,tư / từ / ~tư
兹,zī,từ,3,tư / từ / ~tư
兹,zī,~tư,3,tư / từ / ~tư
养,yǎng,dưỡng,3,dưỡng / dượng / ~dưỡng
养,yǎng,dượng,3,dưỡng / dượng / ~dưỡng
养,yǎng,~dưỡng,3,dưỡng / dượng / ~dưỡng
兼,jiān,kiêm,1,kiêm
兽,shòu,thú,2,thú / tú
兽,shòu,tú,2,thú / tú
兾,jì,~kí,1,~kí
冀,jì,kí,2,kí / ký
冀,jì,ký,2,kí / ký
冁,chǎn,~siển,3,~siển / sản / xiên
冁,chǎn,sản,3,~siển / sản / xiên
冁,chǎn,xiên,3,~siển / sản / xiên
冂,jiōng,quynh,1,quynh
冃,mào,mạo,1,mạo
冄,rǎn,nhiễm,1,nhiễm
内,nèi,nội,2,nội / nạp
内,nèi,nạp,2,nội / nạp
円,yuán,viên,1,viên
冇,mǎo,mão,1,mão
冈,gāng,cương,2,cương / ~cương
冈,gāng,~cương,2,cương / ~cương
冉,rǎn,nhiễm,1,nhiễm
冊,cè,sách,1,sách
冋,jiōng,quynh,1,quynh
册,cè,sách,1,sách
再,zài,tái,1,tái
冏,jiǒng,quýnh,1,quýnh
冐,mào,mạo,1,mạo
冑,zhòu,trụ,1,trụ
冒,mào,mạo,2,mạo / mặc
冒,mào,mặc,2,mạo / mặc
冓,gòu,cấu,1,cấu
冔,xǔ,hu,1,hu
冕,miǎn,miện,1,miện
冖,mì,mịch,1,mịch
冗,rǒng,nhũng,1,nhũng
冘,yín,dâm,2,dâm / đem
冘,yín,đem,2,dâm / đem
写,xiě,tả,1,tả
冚,kǎn,khấm,1,khấm
军,jūn,quân,1,quân
农,nóng,nông,2,nông / ~nùng
农,nóng,~nùng,2,nông / ~nùng
冝,yí,~di,1,~di
冞,mí,my,1,my
冠,guān,quán,2,quán / quan
冠,guān,quan,2,quán / quan
冡,méng,mông,2,mông / trũng
冡,méng,trũng,2,mông / trũng
冢,zhǒng,trủng,1,trủng
冣,jù,tối,1,tối
冤,yuān,oan,1,oan
冥,míng,minh,1,minh
冦,kòu,khấu,1,khấu
冧,lín,~lân,1,~lân
冨,fù,~phụ,1,~phụ
冩,xiě,tả,1,tả
冪,mì,mịch,1,mịch
冫,bīng,băng,1,băng
冬,dōng,đông,1,đông
冭,tai4,thái,1,thái
冮,gāng,~cương,1,~cương
冯,féng,bằng,2,bằng / phùng
冯,féng,phùng,2,bằng / phùng
冰,bīng,băng,1,băng
冱,hù,hộ,1,hộ
冲,chōng,xung,3,xung / trùng / trong
冲,chōng,trùng,3,xung / trùng / trong
冲,chōng,trong,3,xung / trùng / trong
决,jué,quyết,1,quyết
冴,hù,hộ,1,hộ
况,kuàng,huống,1,huống
冶,yě,dã,1,dã
冷,lěng,lãnh,2,lãnh / lạnh
冷,lěng,lạnh,2,lãnh / lạnh
冺,mǐn,mẫn,1,mẫn
冻,dòng,đông,2,đông / đống
冻,dòng,đống,2,đông / đống
冼,xiǎn,tiển,1,tiển
冽,liè,liệt,2,liệt / rét
冽,liè,rét,2,liệt / rét
冿,jian1,kiên,1,kiên
净,jìng,tịnh,2,tịnh / ~tịnh
净,jìng,~tịnh,2,tịnh / ~tịnh
凂,měi,mỗi,1,mỗi
凃,tú,~đồ,1,~đồ
凄,qī,thê,2,thê / thiến
凄,qī,thiến,2,thê / thiến
凅,gù,cố,1,cố
准,zhǔn,chuẩn,3,chuẩn / chốn / chuyết
准,zhǔn,chốn,3,chuẩn / chốn / chuyết
准,zhǔn,chuyết,3,chuẩn / chốn / chuyết
凇,sōng,tùng,1,tùng
凈,jìng,tịnh,2,tịnh / ~tịnh
凈,jìng,~tịnh,2,tịnh / ~tịnh
凉,liáng,lương,2,lương / lượng
凉,liáng,lượng,2,lương / lượng
凊,qìng,sảnh,1,sảnh
凋,diāo,điêu,1,điêu
凌,líng,lăng,2,lăng / lâng
凌,líng,lâng,2,lăng / lâng
凍,dòng,đông,2,đông / đống
凍,dòng,đống,2,đông / đống
减,jiǎn,giảm,1,giảm
凑,còu,thấu,1,thấu
凒,ai2,ai,1,ai
凓,lì,lật,1,lật
凔,chuàng,sương,2,sương / sảng
凔,chuàng,sảng,2,sương / sảng
凖,zhǔn,~chốn,1,~chốn
凗,cui1,thôi,1,thôi
凘,sī,tư,1,tư
凙,duó,đạc,1,đạc
凚,jìn,khấm,1,khấm
凛,lǐn,lẫm,1,lẫm
凜,lǐn,lẫm,1,lẫm
凝,níng,ngưng,1,ngưng
凞,xī,~hy,1,~hy
凟,dú,độc,1,độc
几,jǐ,kỉ,6,kỉ / kỷ / ky / cơ / kí / ki
几,jǐ,kỷ,6,kỉ / kỷ / ky / cơ / kí / ki
几,jǐ,ky,6,kỉ / kỷ / ky / cơ / kí / ki
几,jǐ,cơ,6,kỉ / kỷ / ky / cơ / kí / ki
几,jǐ,kí,6,kỉ / kỷ / ky / cơ / kí / ki
几,jǐ,ki,6,kỉ / kỷ / ky / cơ / kí / ki
凡,fán,phàm,1,phàm
凢,fán,phàm,1,phàm
凣,fán,~phàm,1,~phàm
凤,fèng,phượng,2,phượng / ~phượng
凤,fèng,~phượng,2,phượng / ~phượng
凥,jū,cư,1,cư
処,chǔ,xử,2,xử / xứ
処,chǔ,xứ,2,xử / xứ
凧,zhēng,kì,1,kì
凨,fēng,phong,1,phong
凩,mù,~mục,1,~mục
凪,zhǐ,~chỉ,1,~chỉ
凫,fú,phù,1,phù
凭,píng,bằng,2,bằng / bẵng
凭,píng,bẵng,2,bằng / bẵng
凮,fēng,phong,1,phong
凯,kǎi,khải,1,khải
凰,huáng,hoàng,1,hoàng
凱,kǎi,khải,1,khải
凳,dèng,đắng,1,đắng
凴,píng,bằng,1,bằng
凵,qiǎn,khảm,1,khảm
凶,xiōng,hung,1,hung
凷,kuài,khối,1,khối
凸,tū,đột,1,đột
凹,āo,ao,1,ao
出,chū,xuất,3,xuất / xúy / xích
出,chū,xúy,3,xuất / xúy / xích
出,chū,xích,3,xuất / xúy / xích
击,jī,kích,2,kích / ~kích
击,jī,~kích,2,kích / ~kích
凼,dàng,đãng,1,đãng
函,hán,hàm,2,hàm / hòm
函,hán,hòm,2,hàm / hòm
凾,hán,hàm,1,hàm
凿,záo,tạc,1,tạc
刀,dāo,đao,1,đao
刁,diāo,điêu,1,điêu
刂,dāo,đao,1,đao
刃,rèn,nhận,2,nhận / nhẫn
刃,rèn,nhẫn,2,nhận / nhẫn
刄,rèn,lạng,1,lạng
刅,chuāng,sang,1,sang
分,fēn,phân,3,phân / phần / phận
分,fēn,phần,3,phân / phần / phận
分,fēn,phận,3,phân / phần / phận
切,qiè,thế,3,thế / thiết / tiếp
切,qiè,thiết,3,thế / thiết / tiếp
切,qiè,tiếp,3,thế / thiết / tiếp
刈,yì,ngải,1,ngải
刊,kān,san,2,san / khan
刊,kān,khan,2,san / khan
刋,qiàn,~khiếm,1,~khiếm
刌,cǔn,thiển,2,thiển / thổn
刌,cǔn,thổn,2,thiển / thổn
刍,chú,sô,3,sô / so / ~sồ
刍,chú,so,3,sô / so / ~sồ
刍,chú,~sồ,3,sô / so / ~sồ
刎,wěn,vẫn,1,vẫn
刑,xíng,hình,1,hình
划,huà,hoa,3,hoa / hoạch / vạch
划,huà,hoạch,3,hoa / hoạch / vạch
划,huà,vạch,3,hoa / hoạch / vạch
刓,wán,ngoan,1,ngoan
刔,jué,quyết,1,quyết
刕,li2,lý,1,lý
刖,yuè,ngoạt,1,ngoạt
列,liè,liệt,1,liệt
刘,liú,lưu,1,lưu
则,zé,tắc,2,tắc / trắc
则,zé,trắc,2,tắc / trắc
刚,gāng,cương,2,cương / ~cương
刚,gāng,~cương,2,cương / ~cương
创,chuàng,sang,3,sang / sáng / thương
创,chuàng,sáng,3,sang / sáng / thương
创,chuàng,thương,3,sang / sáng / thương
刜,fú,phất,1,phất
初,chū,sơ,1,sơ
刞,qù,~khứ,1,~khứ
刟,diāo,xẻo,1,xẻo
删,shān,san,1,san
刡,mǐn,mẫn,1,mẫn
判,pàn,phán,1,phán
別,bié,biệt,2,biệt / biết
別,bié,biết,2,biệt / biết
刦,jié,kiếp,1,kiếp
刧,jié,kiếp,1,kiếp
刨,páo,bào,1,bào
利,lì,lợi,1,lợi
刪,shān,san,1,san
别,biè,biệt,3,biệt / tất / biết
别,bié,tất,3,biệt / tất / biết
别,bié,biết,3,biệt / tất / biết
刬,chàn,sản,1,sản
刭,jǐng,cảnh,2,cảnh / hĩnh
刭,jǐng,hĩnh,2,cảnh / hĩnh
刮,guā,quát,1,quát
到,dào,đáo,1,đáo
刱,chuàng,sáng,3,sáng / sang / thương
刱,chuàng,sang,3,sáng / sang / thương
刱,chuàng,thương,3,sáng / sang / thương
刲,kuī,khuê,1,khuê
刳,kū,khô,1,khô
刴,duò,đoá,2,đoá / đóa
刴,duò,đóa,2,đoá / đóa
刵,èr,nhĩ,1,nhĩ
制,zhì,chế,1,chế
刷,shuā,loát,2,loát / xoát
刷,shuā,xoát,2,loát / xoát
券,quàn,khoán,1,khoán
刹,shā,~sát,3,~sát / sát / sa
刹,shā,sát,3,~sát / sát / sa
刹,shā,sa,3,~sát / sát / sa
刺,cì,thích,2,thích / thứ
刺,cì,thứ,2,thích / thứ
刻,kè,khắc,1,khắc
刼,jié,kiếp,1,kiếp
刽,guì,quái,2,quái / ~quái
刽,guì,~quái,2,quái / ~quái
刾,cí,thích,1,thích
刿,guì,quế,2,quế / ~quái
刿,guì,~quái,2,quế / ~quái
剀,kǎi,cái,3,cái / cai / khải
剀,kǎi,cai,3,cái / cai / khải
剀,kǎi,khải,3,cái / cai / khải
剁,duò,đoá,1,đoá
剂,jì,tễ,3,tễ / tề / ~tễ
剂,jì,tề,3,tễ / tề / ~tễ
剂,jì,~tễ,3,tễ / tề / ~tễ
剃,tì,thế,1,thế
剄,jǐng,hĩnh,1,hĩnh
剅,lóu,lâu,1,lâu
則,zé,tắc,2,tắc / trắc
則,zé,trắc,2,tắc / trắc
剉,cuò,tỏa,2,tỏa / toả
剉,cuò,toả,2,tỏa / toả
削,xuē,tước,1,tước
剋,kēi,khắc,2,khắc / khắc
剋,kè,khắc,2,khắc / khắc
剌,là,lạt,1,lạt
前,qián,tiền,1,tiền
剎,shā,sát,2,sát / sa
剎,shā,sa,2,sát / sa
剏,chuàng,sáng,1,sáng
剐,guǎ,quả,1,quả
剑,jiàn,kiếm,1,kiếm
剒,cuò,thố,1,thố
剔,tī,dịch,1,dịch
剕,fèi,phí,1,phí
剖,pōu,bo,3,bo / phẩu / phẫu
剖,pǒ,phẩu,3,bo / phẩu / phẫu
剖,pǒ,phẫu,3,bo / phẩu / phẫu
剗,chǎn,sản,1,sản
剙,chuàng,sáng,1,sáng
剚,zì,chí,2,chí / tứ
剚,zì,tứ,2,chí / tứ
剛,gāng,cương,2,cương / ~cương
剛,gāng,~cương,2,cương / ~cương
剜,wān,oan,1,oan
剝,bō,bác,2,bác / bóc
剝,bō,bóc,2,bác / bóc
剞,jī,kì,4,kì / kỉ / ỷ / kỷ
剞,jī,kỉ,4,kì / kỉ / ỷ / kỷ
剞,jī,ỷ,4,kì / kỉ / ỷ / kỷ
剞,jī,kỷ,4,kì / kỉ / ỷ / kỷ
剟,duō,xuyết,1,xuyết
剠,qíng,lược,1,lược
剡,shàn,diệm,1,diệm
剢,du1,đồ,1,đồ
剣,jiàn,kiếm,1,kiếm
剤,jì,tễ,1,tễ
剥,bō,bác,2,bác / bóc
剥,bō,bóc,2,bác / bóc
剦,yān,yểm,1,yểm
剧,jù,kịch,2,kịch / cưa
剧,jù,cưa,2,kịch / cưa
剨,huō,~hoát,1,~hoát
剩,shèng,thặng,1,thặng
剪,jiǎn,tiễn,2,tiễn / tiện
剪,jiǎn,tiện,2,tiễn / tiện
剮,guǎ,quả,1,quả
副,fù,phó,2,phó / bộ
副,fù,bộ,2,phó / bộ
剰,shèng,thặng,1,thặng
剱,jiàn,kiếm,1,kiếm
割,gē,cát,2,cát / cắt
割,gē,cắt,2,cát / cắt
剳,dá,tráp,1,tráp
剴,kǎi,cái,3,cái / cai / khải
剴,kǎi,cai,3,cái / cai / khải
剴,kǎi,khải,3,cái / cai / khải
創,chuàng,sang,3,sang / sáng / thương
創,chuàng,sáng,3,sang / sáng / thương
創,chuàng,thương,3,sang / sáng / thương
剷,chǎn,sản,2,sản / xẻng
剷,chǎn,xẻng,2,sản / xẻng
剸,tuán,chuyên,2,chuyên / chuyển
剸,tuán,chuyển,2,chuyên / chuyển
剹,lù,lục,1,lục
剺,lí,ly,1,ly
剻,peng3,bằng,1,bằng
剼,shan1,sơn,1,sơn
剽,piāo,phiếu,3,phiếu / phiêu / phiểu
剽,piào,phiêu,3,phiếu / phiêu / phiểu
剽,piào,phiểu,3,phiếu / phiêu / phiểu
剾,kōu,~khu,1,~khu
剿,jiǎo,tiễu,1,tiễu
劁,qiāo,~khao,1,~khao
劂,jué,quyết,2,quyết / khoét
劂,jué,khoét,2,quyết / khoét
劃,huà,hoạch,2,hoạch / vạch
劃,huà,vạch,2,hoạch / vạch
劄,zhá,tráp,3,tráp / trát / chép
劄,zhá,trát,3,tráp / trát / chép
劄,zhá,chép,3,tráp / trát / chép
劅,zhuo2,trác,1,trác
劆,lián,liêm,1,liêm
劇,jù,kịch,2,kịch / cưa
劇,jù,cưa,2,kịch / cưa
劈,pī,phách,1,phách
劉,liú,lưu,1,lưu
劊,guì,quái,2,quái / ~quái
劊,guì,~quái,2,quái / ~quái
劋,jiao3,giáo,1,giáo
劌,guì,quế,2,quế / ~quái
劌,guì,~quái,2,quế / ~quái
劍,jiàn,kiếm,1,kiếm
劎,jiàn,kiếm,1,kiếm
劏,tāng,thang,1,thang
劐,huō,hoát,1,hoát
劑,jì,tễ,3,tễ / tề / ~tễ
劑,jì,tề,3,tễ / tề / ~tễ
劑,jì,~tễ,3,tễ / tề / ~tễ
劒,jiàn,kiếm,1,kiếm
劓,yì,nhị,2,nhị / tị
劓,yì,tị,2,nhị / tị
劔,jiàn,kiếm,1,kiếm
劕,zhì,chặt,1,chặt
劖,chán,thiền,1,thiền
劗,jiǎn,~tiện,1,~tiện
劘,mó,mi,2,mi / my
劘,mó,my,2,mi / my
劙,lí,ly,1,ly
劚,zhǔ,~chúc,1,~chúc
力,lì,lực,1,lực
劝,quàn,khuyến,2,khuyến / ~khuyến
劝,quàn,~khuyến,2,khuyến / ~khuyến
办,bàn,biện,3,biện / bạn / ~bạn
办,bàn,bạn,3,biện / bạn / ~bạn
办,bàn,~bạn,3,biện / bạn / ~bạn
功,gōng,công,1,công
加,jiā,gia,1,gia
务,wù,vụ,2,vụ / ~vụ
务,wù,~vụ,2,vụ / ~vụ
劢,mài,mại,1,mại
劣,liè,liệt,1,liệt
劤,jìn,~cứng,1,~cứng
劦,xié,hiệp,1,hiệp
劧,zhi3,chí,1,chí
动,dòng,động,2,động / ~động
动,dòng,~động,2,động / ~động
助,zhù,trợ,1,trợ
努,nǔ,nỗ,1,nỗ
劫,jié,kiếp,1,kiếp
劬,qú,cù,1,cù
劭,shào,thiệu,1,thiệu
劮,yì,dật,1,dật
劯,zhu1,chủ,1,chủ
励,lì,lệ,1,lệ
劲,jìn,kính,4,kính / cứng / kình / ~cứng
劲,jìn,cứng,4,kính / cứng / kình / ~cứng
劲,jìn,kình,4,kính / cứng / kình / ~cứng
劲,jìn,~cứng,4,kính / cứng / kình / ~cứng
劳,láo,lao,3,lao / lạo / ~lao
劳,láo,lạo,3,lao / lạo / ~lao
劳,láo,~lao,3,lao / lạo / ~lao
労,láo,lao,1,lao
劵,juàn,quyển,1,quyển
劸,wa1,oa,1,oa
効,xiào,hiệu,1,hiệu
劻,kuāng,khuông,1,khuông
劼,jié,cật,1,cật
劾,hé,hạch,2,hạch / hặc
劾,hé,hặc,2,hạch / hặc
势,shì,thế,1,thế
勁,jìn,kính,4,kính / cứng / kình / ~cứng
勁,jìn,cứng,4,kính / cứng / kình / ~cứng
勁,jìn,kình,4,kính / cứng / kình / ~cứng
勁,jìn,~cứng,4,kính / cứng / kình / ~cứng
勃,bó,bột,1,bột
勄,mǐn,mẫn,1,mẫn
勅,chì,sắc,1,sắc
勇,yǒng,dũng,1,dũng
勈,yǒng,dũng,1,dũng
勉,miǎn,miễn,2,miễn / mẫn
勉,miǎn,mẫn,2,miễn / mẫn
勋,xūn,huân,2,huân / ~huân
勋,xūn,~huân,2,huân / ~huân
勌,juàn,quyện,1,quyện
勍,qíng,kình,1,kình
勐,měng,mãnh,1,mãnh
勑,chì,lai,2,lai / sắc
勑,chì,sắc,2,lai / sắc
勒,lēi,lặc,2,lặc / lắc
勒,lēi,lắc,2,lặc / lắc
勔,miǎn,miễn,1,miễn
動,dòng,động,2,động / ~động
動,dòng,~động,2,động / ~động
勖,xù,úc,2,úc / húc
勖,xù,húc,2,úc / húc
勗,xù,úc,2,úc / húc
勗,xù,húc,2,úc / húc
勘,kān,khám,1,khám
務,wù,vụ,2,vụ / ~vụ
務,wù,~vụ,2,vụ / ~vụ
勚,yì,duệ,2,duệ / ~duệ
勚,yì,~duệ,2,duệ / ~duệ
勛,xūn,huân,1,huân
勝,shèng,thăng,2,thăng / thắng
勝,shèng,thắng,2,thăng / thắng
勞,láo,lao,3,lao / lạo / ~lao
勞,láo,lạo,3,lao / lạo / ~lao
勞,láo,~lao,3,lao / lạo / ~lao
募,mù,mộ,1,mộ
勠,lù,lục,1,lục
勢,shì,thế,1,thế
勣,jī,tích,1,tích
勤,qín,cần,1,cần
勥,jiàng,cưỡng,1,cưỡng
勦,chāo,tiễu,2,tiễu / tẹo
勦,chāo,tẹo,2,tiễu / tẹo
勧,quàn,cần,1,cần
勨,xiang4,tương,1,tương
勩,yì,duệ,2,duệ / ~duệ
勩,yì,~duệ,2,duệ / ~duệ
勪,jue2,quyết,1,quyết
勫,fan1,phàn,1,phàn
勬,juan1,quyên,1,quyên
勭,tong2,đồng,1,đồng
勮,ju4,cự,1,cự
勯,dān,đan,1,đan
勰,xié,hiệp,1,hiệp
勱,mài,mại,1,mại
勲,xūn,huân,1,huân
勳,xūn,huân,2,huân / ~huân
勳,xūn,~huân,2,huân / ~huân
勵,lì,lệ,1,lệ
勶,che4,xa,1,xa
勷,ráng,nhương,1,nhương
勸,quàn,khuyến,2,khuyến / ~khuyến
勸,quàn,~khuyến,2,khuyến / ~khuyến
勹,bāo,bao,1,bao
勺,sháo,chước,2,chước / thược
勺,sháo,thược,2,chước / thược
勻,yún,quân,2,quân / ~vân
勻,yún,~vân,2,quân / ~vân
勼,jiū,~cưu,1,~cưu
勽,bào,~bạo,1,~bạo
勾,gōu,câu,2,câu / cấu
勾,gōu,cấu,2,câu / cấu
勿,wù,vật,1,vật
匀,yún,quân,2,quân / ~vân
匀,yún,~vân,2,quân / ~vân
匁,wén,~văn,1,~văn
匂,xiōng,hung,1,hung
匃,gài,cái,1,cái
匄,gài,cái,1,cái
包,bāo,bao,1,bao
匆,cōng,thông,1,thông
匈,xiōng,hung,1,hung
匉,pēng,phanh,1,phanh
匊,jū,cúc,1,cúc
匋,táo,đào,1,đào
匍,pú,bồ,2,bồ / bò
匍,pú,bò,2,bồ / bò
匏,páo,bào,2,bào / bầu
匏,páo,bầu,2,bào / bầu
匐,fú,bặc,1,bặc
匑,gōng,cung,1,cung
匔,gōng,cung,1,cung
匕,bǐ,chuỷ,2,chuỷ / chủy
匕,bǐ,chủy,2,chuỷ / chủy
化,huà,hoa,3,hoa / hoá / hóa
化,huà,hoá,3,hoa / hoá / hóa
化,huà,hóa,3,hoa / hoá / hóa
北,běi,bắc,1,bắc
匘,nǎo,~não,1,~não
匙,shi,thi,1,thi
匚,fāng,phương,1,phương
匜,yí,di,2,di / dị
匜,yí,dị,2,di / dị
匝,zā,táp,2,táp / tạp
匝,zā,tạp,2,táp / tạp
匞,jiàng,tượng,1,tượng
匟,kàng,kháng,1,kháng
匠,jiàng,tượng,1,tượng
匡,kuāng,khuông,2,khuông / khuôn
匡,kuāng,khuôn,2,khuông / khuôn
匣,xiá,hạp,2,hạp / hộp
匣,xiá,hộp,2,hạp / hộp
匦,guǐ,~quỹ,2,~quỹ / quỹ
匦,guǐ,quỹ,2,~quỹ / quỹ
匧,qiè,kiếp,1,kiếp
匪,fěi,phỉ,1,phỉ
匬,yǔ,tủ,1,tủ
匭,guǐ,quỹ,1,quỹ
匮,guì,quỹ,2,quỹ / quĩ
匮,guì,quĩ,2,quỹ / quĩ
匯,huì,hối,5,hối / ~hối / vị / hội / vựng
匯,huì,~hối,5,hối / ~hối / vị / hội / vựng
匯,huì,vị,5,hối / ~hối / vị / hội / vựng
匯,huì,hội,5,hối / ~hối / vị / hội / vựng
匯,huì,vựng,5,hối / ~hối / vị / hội / vựng
匰,dān,đan,1,đan
匱,guì,quỹ,2,quỹ / quĩ
匱,guì,quĩ,2,quỹ / quĩ
匲,lián,liêm,1,liêm
匳,lián,liêm,1,liêm
匴,suǎn,toán,1,toán
匵,dú,độc,1,độc
匶,jiù,cữu,1,cữu
匸,xì,hệ,1,hệ
匹,pǐ,thất,2,thất / thớt
匹,pǐ,thớt,2,thất / thớt
区,qū,âu,3,âu / khu / ~khu
区,qū,khu,3,âu / khu / ~khu
区,qū,~khu,3,âu / khu / ~khu
医,yī,y,1,y
匼,kē,hộp,1,hộp
匽,yǎn,yển,1,yển
匾,biǎn,biển,1,biển
匿,nì,nặc,1,nặc
區,qū,âu,3,âu / khu / ~khu
區,qū,khu,3,âu / khu / ~khu
區,qū,~khu,3,âu / khu / ~khu
十,shí,thập,1,thập
卂,xùn,tín,1,tín
千,qiān,thiên,1,thiên
卄,niàn,chấp,2,chấp / nhập
卄,niàn,nhập,2,chấp / nhập
卅,sà,tạp,1,tạp
卆,zú,tốt,1,tốt
升,shēng,thăng,1,thăng
午,wǔ,ngọ,1,ngọ
卉,huì,huỷ,2,huỷ / hủy
卉,huì,hủy,2,huỷ / hủy
半,bàn,bán,1,bán
卋,shì,thế,1,thế
卌,xì,tấp,1,tấp
卍,wàn,vạn,1,vạn
华,huá,hoa,3,hoa / hoá / hóa
华,huá,hoá,3,hoa / hoá / hóa
华,huá,hóa,3,hoa / hoá / hóa
协,xié,hiệp,3,hiệp / hiếp / ~hiếp
协,xié,hiếp,3,hiệp / hiếp / ~hiếp
协,xié,~hiếp,3,hiệp / hiếp / ~hiếp
卐,wàn,vạn,1,vạn
卑,bēi,ti,1,ti
卒,zú,tuất,3,tuất / tốt / thốt
卒,zú,tốt,3,tuất / tốt / thốt
卒,zú,thốt,3,tuất / tốt / thốt
卓,zhuó,trác,1,trác
協,xié,hiệp,3,hiệp / hiếp / ~hiếp
協,xié,hiếp,3,hiệp / hiếp / ~hiếp
協,xié,~hiếp,3,hiệp / hiếp / ~hiếp
单,dān,thiện,4,thiện / đan / thiền / đơn
单,dān,đan,4,thiện / đan / thiền / đơn
单,dān,thiền,4,thiện / đan / thiền / đơn
单,dān,đơn,4,thiện / đan / thiền / đơn
