Ký_tự,Pinyin,Hán_Việt,Số_cách_đọc,Tất_cả_cách_đọc
㓤,qià,~kháp,1,~kháp
㓥,tāng,thang,1,thang
㓦,bāi,~bẻ,1,~bẻ
㓧,gān,~can,1,~can
㓨,cí,thích,1,thích
㓩,xuān,huyên,1,huyên
㓪,lǎng,lãng,1,lãng
㓬,què,khước,1,khước
㓭,shé,hạt,1,hạt
㓮,diāo,điêu,1,điêu
㓯,lí,~ly,1,~ly
㓰,huà,~vạch,1,~vạch
㓱,tóu,~đầu,1,~đầu
㓲,piān,~thiên,1,~thiên
㓳,dī,~đây,1,~đây
㓴,ruǎn,~nhuyễn,1,~nhuyễn
㓵,è,ngạc,1,ngạc
㓶,qiè,khía,1,khía
㓷,yì,~nhị,1,~nhị
㓸,zhuō,~trác,1,~trác
㓹,ruì,~nhuế,1,~nhuế
㓺,jiān,kiền,1,kiền
㓻,gāng,cương,1,cương
㓼,chì,thất,1,thất
㓽,chóng,sùng,1,sùng
㓾,xī,~tây,1,~tây
㔀,lüè,~lược,1,~lược
㔁,dēng,~đăng,1,~đăng
㔂,lín,lân,1,lân
㔃,jué,~khoét,1,~khoét
㔄,sù,túc,1,túc
㔅,xiào,khiếu,1,khiếu
㔆,zàn,~tán,1,~tán
㔇,bō,bát,1,bát
㔉,zhǔ,~chúc,1,~chúc
㔊,zhǎn,~triển,1,~triển
㔋,jiān,~kiền,1,~kiền
㔌,zòu,~tấu,1,~tấu
㔍,chuā,~sái,1,~sái
㔎,xiè,tiết,1,tiết
㔏,lì,lịch,1,lịch
㔐,xiān,tiêm,1,tiêm
㔑,chì,thất,1,thất
㔒,xí,~tập,1,~tập
㔓,jiǎn,~kiễng,1,~kiễng
㔕,jí,~tập,1,~tập
㔗,fèi,~phí,1,~phí
㔘,chù,~xúc,1,~xúc
㔙,bēng,~banh,1,~banh
㔚,jié,~kiếp,1,~kiếp
㔜,bá,~bạt,1,~bạt
㔝,liǎng,lưỡng,1,lưỡng
㔞,kuài,~khối,1,~khối
㔠,xiā,~hà,1,~hà
㔡,biē,biệt,1,biệt
㔢,jué,đốt,1,đốt
㔣,léi,~lôi,1,~lôi
㔤,xìn,~tín,1,~tín
㔥,bài,~bại,1,~bại
㔦,yǎng,~dưỡng,1,~dưỡng
㔧,lǜ,~lự,1,~lự
㔨,bèi,~bối,1,~bối
㔩,è,~ngạc,1,~ngạc
㔪,lǔ,lỗ,1,lỗ
㔬,zhuó,~đốt,1,~đốt
㔭,chè,~triệt,1,~triệt
㔮,nuó,~na,1,~na
㔯,xuán,~tuyền,1,~tuyền
㔰,héng,~hằng,1,~hằng
㔱,yǔ,~tủ,1,~tủ
㔳,guǐ,~quỹ,1,~quỹ
㔴,yì,~dịch,1,~dịch
㔵,xuǎn,~tuyển,1,~tuyển
㔶,gòng,cống,1,cống
㔷,lòu,~lũ,1,~lũ
㔸,tī,~đề,1,~đề
㔹,lè,lặc,1,lặc
㔺,shì,~thế,1,~thế
㔻,pī,phi,1,phi
㔼,sǔn,duẩn,1,duẩn
㔽,yào,~diệu,1,~diệu
㔾,xiān,tiêm,1,tiêm
㔿,zòu,~tấu,1,~tấu
㕁,què,khước,1,khước
㕂,yín,~ngân,1,~ngân
㕃,xī,~hi,1,~hi
㕄,zhǐ,~chỉ,1,~chỉ
㕅,jiá,giáp,1,giáp
㕆,hù,hộ,1,hộ
㕇,lā,~lụp,1,~lụp
㕈,yǐ,~nghĩ,1,~nghĩ
㕉,kè,~hụp,1,~hụp
㕊,fū,~phu,1,~phu
㕋,qín,cầm,1,cầm
㕌,ài,ngại,1,ngại
㕍,yàn,nhạn,1,nhạn
㕎,kè,~hụp,1,~hụp
㕏,chú,~trù,1,~trù
㕐,xiě,tả,1,tả
㕑,chú,~trù,1,~trù
㕒,wēi,~uy,1,~uy
㕔,tīng,thính,1,thính
㕕,huàn,~hoán,1,~hoán
㕖,sù,tố,1,tố
㕗,yòu,~dứu,1,~dứu
㕘,cān,~xam,1,~xam
㕙,jùn,tuấn,1,tuấn
㕚,zhǎo,~trảo,1,~trảo
㕛,xù,~tự,1,~tự
㕜,shǐ,~sử,1,~sử
㕞,shuā,~loát,1,~loát
㕟,kuì,~quỹ,1,~quỹ
㕠,shuāng,~song,1,~song
㕡,hé,xác,1,xác
㕢,gài,~cái,1,~cái
㕣,yǎn,~thèm,1,~thèm
㕤,qiú,~cầu,1,~cầu
㕥,shēn,~thân,1,~thân
㕦,huà,thoại,1,thoại
㕧,xī,~sáp,1,~sáp
㕩,pàng,~phừng,1,~phừng
㕪,dǎn,~đảm,1,~đảm
㕫,fǎng,~phỏng,1,~phỏng
㕬,gōng,~cung,1,~cung
㕭,āo,êu,1,êu
㕮,fǔ,~phủ,1,~phủ
㕯,nè,nọi,1,nọi
㕰,xuè,mau,1,mau
㕱,yóu,~du,1,~du
㕲,huá,~hoa,1,~hoa
㕳,fán,phàm,1,phàm
㕵,guó,uống,1,uống
㕶,ň,~ng,1,~ng
㕷,huà,~thoại,1,~thoại
㕸,lì,lắp,1,lắp
㕹,fá,~phạt,1,~phạt
㕺,xiāo,~hiu,1,~hiu
㕻,pǒu,~phủ,1,~phủ
㕼,xiāng,hương,1,hương
㕽,sì,tự,1,tự
㖀,lè,~sựt,1,~sựt
㖁,lìn,~lận,1,~lận
㖂,yì,~thé,1,~thé
㖃,hǒu,~hống,1,~hống
㖄,zhōu,châu,1,châu
㖅,xù,tuất,1,tuất
㖆,qú,khúc,1,khúc
㖇,ér,nhe,1,nhe
㖊,xún,~tầm,2,~tầm / tầm
㖊,xún,tầm,2,~tầm / tầm
㖏,niè,~chiếp,1,~chiếp
㖐,wěi,~vĩ,1,~vĩ
㖑,xiè,nhái,1,nhái
㖒,tí,đề,1,đề
㖓,hóng,hồng,1,hồng
㖔,tǔn,~thận,1,~thận
㖕,niè,~chiếp,1,~chiếp
㖖,niè,~chiếp,1,~chiếp
㖗,yín,sùm,1,sùm
㖘,zhēn,duẩn,1,duẩn
㖞,wāi,oa,2,oa / oai
㖞,wāi,oai,2,oa / oai
㖟,shòu,thụ,1,thụ
㖠,nuò,nhại,1,nhại
㖡,yè,dạ,1,dạ
㖢,qí,~kì,1,~kì
㖣,tòu,vòi,1,vòi
㖤,hán,hàm,1,hàm
㖥,jùn,rên,1,rên
㖦,dǒng,đổng,1,đổng
㖧,hūn,hôn,1,hôn
㖨,lù,lục,1,lục
㖩,jū,~cư,1,~cư
㖪,huò,~oác,1,~oác
㖫,líng,lừng,1,lừng
㖭,tiǎn,chiêm,1,chiêm
㖮,lún,lân,1,lân
㖶,yān,~yên,1,~yên
㖷,shí,~thực,1,~thực
㖸,xué,~cược,1,~cược
㖹,pēn,vồn,1,vồn
㖺,chǔn,xuẩn,1,xuẩn
㖻,niú,~ngưu,1,~ngưu
㖼,duǒ,mỏ,1,mỏ
㖽,zé,hợt,1,hợt
㖾,è,ngạc,1,ngạc
㖿,xié,dã,1,dã
㗀,yōu,~ưu,1,~ưu
㗁,è,ngạc,1,ngạc
㗂,shěng,tỉnh,1,tỉnh
㗃,wěn,~răn,1,~răn
㗄,kū,~khóc,1,~khóc
㗅,hú,hồ,1,hồ
㗆,gé,cách,1,cách
㗇,xiá,hà,1,hà
㗈,màn,~man,1,~man
㗉,lüè,lược,1,lược
㗊,jí,~tập,1,~tập
㗋,hóu,hầu,1,hầu
㗌,zhì,~chợt,1,~chợt
㗍,chāng,xương,1,xương
㗎,gà,gia,1,gia
㗑,bai,bới,1,bới
㗒,ài,ai,1,ai
㗓,zhuī,~duì,1,~duì
㗔,qiān,khiên,1,khiên
㗕,gòu,~cấu,1,~cấu
㗖,dàn,thào,1,thào
㗗,bēi,~bôi,1,~bôi
㗘,bó,bác,1,bác
㗙,chū,sò,1,sò
㗚,lì,trắt,1,trắt
㗛,xiào,khiếu,1,khiếu
㗜,xiù,súc,1,súc
㗢,hóng,rống,1,rống
㗣,tì,~thế,1,~thế
㗤,cù,~xúc,1,~xúc
㗥,kuò,~khuếch,1,~khuếch
㗦,láo,~rao,1,~rao
㗧,zhì,~chợt,1,~chợt
㗨,xiē,~xa,1,~xa
㗩,xī,sáp,1,sáp
㗪,zhá,trát,1,trát
㗫,qiè,~mép,1,~mép
㗬,zhā,~cha,1,~cha
㗭,xī,~sáp,1,~sáp
㗰,cóng,~tùng,1,~tùng
㗱,jí,tập,1,tập
㗲,huò,~oác,1,~oác
㗳,tǎ,~tháp,1,~tháp
㗴,yán,nhằn,1,nhằn
㗵,xù,~tuất,1,~tuất
㗶,pō,bát,1,bát
㗷,sǎi,~thái,1,~thái
㗻,guō,~oà,1,~oà
㗼,yè,~dạ,1,~dạ
㗽,xiǎng,~hưởng,1,~hưởng
㗾,xuē,ngoa,1,ngoa
㗿,hé,~hoà,1,~hoà
㘀,zuò,trách,1,trách
㘁,yì,~thé,1,~thé
㘂,cí,~từ,1,~từ
㘅,xián,hàm,1,hàm
㘆,tǎi,~đài,1,~đài
㘇,róng,vang,1,vang
㘈,yì,~thé,1,~thé
㘉,zhì,~chợt,1,~chợt
㘊,xī,~sáp,1,~sáp
㘋,xián,hờn,1,hờn
㘌,jù,~câu,1,~câu
㘍,jí,~tập,1,~tập
㘎,hǎn,hảm,1,hảm
㘐,pào,~pháo,1,~pháo
㘑,lì,lệ,1,lệ
㘓,lán,ran,1,ran
㘔,sǎi,~thái,1,~thái
㘕,hǎn,~hảm,1,~hảm
㘖,yán,~nhằn,1,~nhằn
㘗,qū,~khư,1,~khư
㘙,yán,~nhằn,1,~nhằn
㘚,hǎn,hảm,1,hảm
㘛,kān,~kham,1,~kham
㘜,chǐ,~xếch,1,~xếch
㘝,niè,~nghiệt,1,~nghiệt
㘞,huò,~hoạch,1,~hoạch
㘠,bì,~tất,1,~tất
㘡,xiá,~giáp,1,~giáp
㘢,wěng,~ổng,1,~ổng
㘣,xuán,~tuyền,1,~tuyền
㘤,wān,loan,1,loan
㘥,yóu,~nga,1,~nga
㘦,qín,cần,1,cần
㘧,xù,~tự,1,~tự
㘨,niè,nồi,1,nồi
㘩,bì,bị,1,bị
㘪,hào,hao,1,hao
㘫,jǐng,~cảnh,1,~cảnh
㘬,ào,~ao,1,~ao
㘭,ào,ao,1,ao
㘰,zhēn,châm,1,châm
㘱,tān,than,1,than
㘲,jú,~cong,1,~cong
㘳,qiū,khâu,1,khâu
㘴,zuò,~tọa,1,~tọa
㘵,bù,~phụ,1,~phụ
㘶,jié,kiệt,1,kiệt
㘷,ài,~ái,1,~ái
㘸,zàng,táng,1,táng
㘹,cí,~từ,1,~từ
㘺,fá,~phạt,1,~phạt
㘻,yìn,ấn,1,ấn
㘽,zāi,tai,1,tai
㘿,niè,~nồi,1,~nồi
